name,lat,lon,offset
Mt Everest,27.9881,86.9250,
Lhotse,27.9617,86.9336,
Ama Dablam,27.8614,86.8614,
Cho Oyu,28.0941,86.6608,
Makalu,27.8897,87.0886,
Pumori,28.0153,86.8263,
Nuptse,27.9664,86.8900,
Tobuche,27.8967,86.7776,
Cholatse,27.9179,86.7667,
Kangtega,27.7995,86.8082,
Thamserku,27.7903,86.7875,
Numbur,27.7539,86.5737,
Lobuche East,27.9595,86.7899,
Nupla,27.7720,86.6607,
Phari Lapcha,27.9296,86.6808,
Kyajori,27.9095,86.6700,
Gyachung Kang,28.0975,86.7426,
Hungchi,28.0350,86.7589,
Kang Thari,27.8142,86.8335,
Lukla,27.6859,86.7291,0.7
Phakding,27.7435,86.7131,0.7
Namche Bazaar,27.8046,86.7106,0.7
Dole,27.8666,86.7309,0.7
Machhermo,27.9034,86.7143,0.7
Gokyo,27.9537,86.6943,0.7
Thagnak,27.9406,86.7203,0.7
Lobuche,27.9486,86.8104,0.7
Gorakshep,27.9810,86.8290,0.7
Somare,27.8677,86.8054,0.7
Kala Patthar,27.9957,86.8285,
Cho La Pass,27.9617,86.7518,
Gokyo Ri,27.9612,86.6817,
EBC,27.9972,86.8471,
Dzongla,27.9397,86.7736,0.7
